ID,Voting_Intention,EUREF_Int,EUREF_SQUEEZE,EUREF_likely,Optimism,Immigration,political_attention,Newspaper_Often,Newspaper_Read,TV_News,SOAPS_Eastenders,SOAPS_CoronationStreet,SOAPS_Hollyoaks,SOAPS_Emmerdale,PhoneResponse_Landline,PhoneResponse_Mobile,voted2015,pastvote_2015,Age,house_tenure,work_stat,work_type,gender,GOR,supermarket,Age_Gender,socialgrade_single,socialgrade_matrix,education_age,profile_education_level,pvbyregion_w8,bpcagegeneduc_w8,Socgrade_matrix_w8,threeway_attention_w8,respdate,W8
1939,2,1,9,11,1,1,6,1,5,1,2,2,2,2,2,2,1,9,25,4,1,1,2,5,21,6,1,2,6,17,29,14,1,2,5/2/2016,.887984056156627
1940,1,3,2,11,3,2,7,2,99,7,2,2,2,2,3,3,1,1,22,7,1,3,2,1,16,5,1,5,3,11,1,18,4,2,5/1/2016,1.29642118016861
1941,2,1,9,10,2,1,5,2,99,1,2,2,2,2,3,2,1,7,20,7,2,4,2,1,22,5,2,4,3,11,5,18,3,2,5/10/2016,.954952447458958
1942,7,1,9,7,1,2,4,2,99,7,2,2,2,2,5,3,1,1,19,4,5,9,2,1,1,5,2,2,6,16,1,17,1,2,5/9/2016,1.04217417997151
1943,9,3,3,11,1,3,8,2,99,1,2,2,2,2,5,2,1,3,19,4,5,8,2,1,1,5,2,3,6,15,3,18,2,2,5/4/2016,1.00265495906942
1944,2,1,9,10,1,1,8,1,5,7,2,2,1,2,4,3,2, ,18,8,1,4,2,1,21,5,2,3,3,11,6,18,2,2,5/5/2016,.997397687320816
1945,2,1,9,8,1,3,7,1,8,1,2,2,2,2,4,2,1,7,22,8,3,7,1,1,2,1,2,3,5,16,5,8,2,2,5/11/2016,.719549958100066
1946,2,1,9,11,1,1,6,2,99,1,2,2,2,2,5,2,2, ,22,4,1,3,1,4,12,1,1,3,1,3,24,9,2,2,5/10/2016,1.10030179757774
1947,2,1,9,11,3,3,8,1,17,3,2,2,2,2,4,4,1,2,21,7,5,3,2,4,16,5,1,4,5,13,20,18,3,2,5/4/2016,1.18214913130598
1948,9,3,3,6,1,2,6,2,99,3,2,1,2,1,5,4,2, ,30,4,2,2,2,3,22,6,1,3,4,6,18,15,2,2,5/9/2016,.898214861993923
1949,2,1,9,10,1,1,8,1,4,1,2,2,2,2,1,2,2, ,19,8,5,4,2,1,12,5,2,3,6,15,6,18,2,2,5/2/2016,.997397687320816
