ID,Phone_Type,Voting_Intention,EUREF_Int,EUREF_SQUEEZE,EUREF_likely,Optimism,Immigration,political_attention,Newspaper_Often,Newspaper_Read,TV_News,SOAPS_Eastenders,SOAPS_CoronationStreet,SOAPS_Hollyoaks,SOAPS_Emmerdale,PhoneResponse_Landline,PhoneResponse_Mobile,voted2015,pastvote_2015,Age,house_tenure,work_stat,work_type,gender,GOR,supermarket,Age_Gender,socialgrade_single,education_age,education_ageR,Education_still,pvbyregion_w8,bpcagegeneduc_w8,socgrade_single_w8,threeway_attention_w8,respdate,W8
3378,1,1,3,1,6,1,2,2,2, ,6,1,2,2,2, ,1,1,1,39,7,1,1,1,6,11,2,1,16,1, ,30,7,1,1,5/8/2016,.92718753701968
3722,1,1,1, ,11,1,3,6,1,7,1,2,2,2,2, ,4,1,1,48,2,1,7,1,6,2,2,2,16,1, ,30,7,2,2,4/29/2016,.466905647425387
3723,2,8,2, ,11,1,2,5,2, ,6,2,2,2,2,1, ,1,1,30,3,1,6,1,6,3,2,2,16,1, ,30,7,2,2,5/9/2016,.466905647425387
3728,1,1,1, ,11,1,2,6,1,17,1,2,2,2,2, ,3,1,1,57,1,1,2,1,6,2,3,1,16,1, ,30,4,1,2,4/29/2016,.464990198949023
3810,1,1,2, ,11,1,2,6,2, ,1,2,2,2,2, ,2,1,1,66,1,1,2,1,6,2,4,1,16,1, ,30,1,1,2,5/2/2016,.397042346254452
3811,1,4,2, ,10,1,2,5,1,7,1,2,2,2,2, ,3,1,1,83,1,6,1,1,6,6,4,1,16,1, ,30,1,1,2,5/5/2016,.397042346254452
3872,1,8,2, ,6,1,2,6,1,17,4,1,1,2,1, ,5,1,1,58,1,6,7,2,6,5,7,2,16,1, ,30,13,2,2,5/3/2016,.329752232372654
3934,1,1,2, ,11,1,1,11,2, ,4,2,1,2,2, ,4,1,1,58,7,1,8,1,6,11,3,2,16,1, ,30,4,2,3,5/3/2016,.219693740874265
3646,2,2,1, ,11,3,3,8,1,4,4,2,2,2,2,4, ,1,2,32,2,1,4,1,6,5,2,1,16,1, ,31,7,1,2,5/10/2016,.556557694734827
3647,1,2,1, ,11,1,2,7,2, ,1,2,2,2,2, ,4,1,2,34,2,1,1,1,6,2,2,1,16,1, ,31,7,1,2,5/9/2016,.556557694734827
3716,1,2,3,2,11,1,3,5,1,9,1,1,1,2,1, ,1,1,2,34,2,1,7,1,6,1,2,2,16,1, ,31,7,2,2,5/9/2016,.473048364872044
3809,1,5,3,2,6,1,2,6,2, ,2,2,2,2,2, ,2,1,2,56,1,1,6,1,6,7,3,2,16,1, ,31,4,2,2,5/4/2016,.400419825277631
3932,1,2,1, ,11,1,1,9,1,4,1,2,2,2,2, ,6,1,2,52,5,7,8,1,6,5,3,2,16,1, ,31,4,2,3,5/7/2016,.222584081958017
3795,2,4,2, ,11,1,2,6,1,11,1,2,2,2,2,3, ,1,6,42,1,1,4,1,6,2,2,1,16,1, ,34,7,1,2,5/9/2016,.408702112544634
3796,1,4,2, ,11,1,2,5,2, ,2,2,2,2,2, ,2,1,6,44,4,6,4,1,6,6,2,1,16,1, ,34,7,1,2,5/5/2016,.408702112544634
3797,1,8,2, ,11,3,2,8,2, ,2,2,1,2,2, ,1,1,6,42,2,1,2,1,6,3,2,1,16,1, ,34,7,1,2,5/10/2016,.408702112544634
3845,1,4,2, ,11,1,2,7,1,9,4,2,2,2,2, ,3,1,6,26,2,1,6,1,6,1,2,2,16,1, ,34,7,2,2,5/9/2016,.347377941025691
3902,2,4,2, ,11,1,2,8,1,7,4,2,2,2,2,2, ,1,6,58,1,1,6,1,6,6,3,2,16,1, ,34,4,2,2,5/10/2016,.294043959941464
3977,2,4,2, ,11,1,2,9,1,5,1,2,1,2,2,3, ,1,6,52,1,1,6,1,6,7,3,2,16,1, ,34,4,2,3,5/9/2016,.163452208774856
3988,1,4,2, ,11,1,2,11,1,17,1,2,2,2,2, ,4,1,6,66,1,6,6,1,6,10,4,2,16,1, ,34,1,2,3,4/30/2016,.139567347051881
3990,1,8,2, ,11,1,2,11,2, ,1,2,2,2,1, ,2,1,6,56,2,1,6,2,6,7,7,2,16,1, ,34,13,2,3,5/4/2016,.136376451181686
3681,2,8,3,1,6,2,3,2,2, ,1,1,1,1,1,1, ,2, ,30,2,1,7,1,6,1,2,2,16,1, ,35,7,2,1,5/10/2016,.511156841869625
3682,1,7,4, ,11,3,4,1,2, ,2,1,1,2,1, ,1,2, ,46,2,3,3,2,6,1,6,1,16,1, ,35,16,1,1,5/7/2016,.507895973864185
3831,1,8,2, ,11,3,2,1,2, ,2,2,2,2,1, ,2,2, ,72,3,6,6,1,6,7,4,2,16,1, ,35,1,2,1,4/30/2016,.369451329739355
3890,1,7,2, ,11,1,3,6,2, ,1,1,1,2,1, ,3,2, ,48,2,1,6,1,6,1,2,2,16,1, ,35,7,2,2,4/30/2016,.302844970624825
3891,1,8,1, ,11,3,3,6,1,13,1,2,2,2,2, ,1,1,9,46,2,1,6,1,6,1,2,2,16,1, ,35,7,2,2,5/4/2016,.302844970624825
3892,1,8,1, ,11,1,3,5,2, ,2,2,2,2,2, ,4,2, ,31,2,1,6,1,6,1,2,2,16,1, ,35,7,2,2,5/9/2016,.302844970624825
3897,1,8,2, ,10,1,3,6,2, ,6,1,2,2,2, ,4,2, ,38,2,2,3,2,6,1,6,1,16,1, ,35,16,1,2,5/9/2016,.300913004945354
3916,1,2,2, ,11,4,3,6,2, ,3,2,2,2,2, ,2,1,9,59,1,1,6,1,6,7,3,2,16,1, ,35,4,2,2,4/29/2016,.256348270554963
3937,1,5,2, ,11,1,2,6,1,1,1,2,2,2,2, ,4,1,9,59,1,1,6,2,6,6,7,2,16,1, ,35,13,2,2,5/3/2016,.213884337610899
3948,2,8,2, ,8,1,2,9,1,14,3,2,2,2,2,2, ,2, ,38,1,1,2,1,6,1,2,1,16,1, ,35,7,1,3,5/10/2016,.198063086428976
3986,1,3,1, ,6,2,3,9,2, ,1,2,1,1,2, ,1,2, ,62,3,1,7,1,6,6,3,2,16,1, ,35,4,2,3,4/30/2016,.142498050448526
3987,1,2,2, ,11,1,2,9,1,18,2,2,2,2,2, ,3,2, ,54,1,1,6,1,6,2,3,2,16,1, ,35,4,2,3,5/2/2016,.142498050448526
3003,2,1,2, ,11,1,2,3,2, ,6,2,1,2,2,4, ,1,1,40,1,1,3,2,1,6,6,1,17,2, ,1,15,1,1,5/10/2016,4.84232442825525
3046,1,1,2, ,11,1,2,6,1,12,2,2,2,2,1, ,3,1,1,48,4,1,4,2,1,7,6,1,17,2, ,1,15,1,2,5/10/2016,2.86893078427163
3149,1,1,2, ,11,1,3,8,2, ,4,2,2,2,2, ,4,1,1,38,2,1,4,1,1,3,2,1,17,2, ,1,6,1,2,5/11/2016,1.6702863966043
3150,1,1,2, ,11,1,2,1,2, ,1,2,2,2,1, ,5,1,1,72,3,6,4,2,1,7,8,1,17,2, ,1,10,1,1,5/4/2016,1.6672919358598
3155,1,8,3,3,11,1,3,7,2, ,2,2,2,2,2, ,4,1,1,50,6,1,4,2,1,6,7,1,17,2, ,1,12,1,2,5/10/2016,1.61848882654362
3377,1,4,2, ,11,1,2,11,1,7,1,2,2,2,2, ,2,1,1,42,2,1,2,1,1,7,2,1,17,2, ,1,6,1,3,5/10/2016,.928473418960614
3504,1,1,2, ,11,1,3,9,2, ,1,2,2,2,2, ,2,1,1,61,1,4,7,2,1,5,7,2,17,2, ,1,12,2,3,5/4/2016,.764686794840483
3660,1,1,2, ,11,1,1,9,2, ,1,2,1,2,2, ,5,1,1,79,1,6,3,2,1,7,8,1,17,2, ,1,10,1,3,5/6/2016,.549106226004665
3029,1,2,3,3,1,4,4,1,2, ,1,2,2,2,2, ,2,1,2,29,4,4,7,2,1,10,6,2,17,2, ,2,15,2,1,5/11/2016,3.21262593116909
3327,2,2,1, ,11,3,2,4,2, ,2,2,1,2,1,2, ,1,2,53,2,4,7,2,1,7,7,2,17,2, ,2,12,2,2,5/5/2016,1.07378166219543
3381,2,2,1, ,11,3,2,6,2, ,3,2,2,1,2,3, ,1,2,22,1,1,4,2,1,7,5,1,17,2, ,2,18,1,2,5/5/2016,.919930708610189
3087,1,8,3,3,9,1,2,8,2, ,1,2,2,2,2, ,2,1,3,49,2,1,4,1,1,3,2,1,17,2, ,3,6,1,2,5/11/2016,2.27627043299843
3204,2,4,2, ,11,1,2,8,2, ,1,2,2,2,2,3, ,1,6,54,1,1,2,1,1,6,3,1,17,2, ,4,3,1,2,5/4/2016,1.40351028610218
3267,2,4,2, ,11,1,2,7,1,9,5,2,2,2,2,4, ,1,6,53,4,3,7,1,1,7,3,2,17,2, ,4,3,2,2,5/11/2016,1.19291899510627
3312,2,4,2, ,11,1,2,6,2, ,5,2,2,2,2,4, ,1,6,54,2,1,8,2,1,2,7,2,17,2, ,4,12,2,2,5/9/2016,1.10913238568897
3501,1,4,2, ,11,1,3,8,2, ,2,1,1,2,1, ,2,1,6,66,4,6,7,1,1,5,4,2,17,2, ,4,1,2,2,5/4/2016,.767773458195691
3536,2,8,2, ,11,1,3,2,2, ,4,1,2,2,2,4, ,1,8,30,4,3,5,1,1,7,2,2,17,2, ,5,6,2,1,5/9/2016,.70736548698037
